"Parent.Tree.Number","Vegetation.Code","Parent.Tree.Reg.Status.Code","Local.Number","Active.Ind","Tested.Ind","Breeding.Program.Ind","Selection.Date","BC.Source.Ind","Client.Number","Client.Locn.Code","Natural.Selection.Type.Code","Geographic.Location","Latitude.Degrees","Latitude.Minutes","Latitude.Seconds","Longitude.Degrees","Longitude.Minutes","Longitude.Seconds","Seed.Plan.Zone.Code","Elevation","Selection.Age","BGC.Zone.Code","BGC.Subzone.Code","BGC.Variant","Breeding.Selection.Type.Code","Female.Parent.Parent.Tree.Number","Male.Parent.Parent.Tree.Number","Parent.Tree.Comment","Latitude","Longitude"
4739,"PLI","APP","","Y","Y","Y","2008-04-16","Y",103247,0,"PT","REINECKER CR",50,49,0,119,13,0,"SA",920,23,"ICH","mw",2,"FS",1148,NA,"The PT No. 4739 above is a favorably valued Forward Selection harvested from Harris Creek (Local Test 0770.20.13) for Seed Production purposes. The information below on this screen refers to the material source (Mat. Link): PT 1148 which is part of the initial test population in multi-generational breeding.",50.8166666666667,-119.216666666667
5001,"PLI","APP","","Y","Y","N","2007-02-06","Y",12797,4,"PV","OLEAN CREEK LOSSIE CREEK",50,27,0,118,54,0,"SA",1158,8,"ICH","mw",NA,"",NA,NA,"Single parent selected from Seedlot # 8151 which was an operational control in the TO progeny tests with a high breeding value.",50.45,-118.9
5002,"PLI","APP","","Y","Y","N","2007-02-06","Y",12797,4,"PV","MARL CREEK",51,31,0,117,11,0,"BSH",945,80,"ICH","",NA,"",NA,NA,"This is an Intra by intra cross was made at Red Rock and planted at Skimikin and Red Rock in the Intra-Inter trial in 1991. This tree was selected in 1998 to be used in the EK Seed Orchard
The cross was 1-44-2-6 x 1-44-10-2",51.5166666666667,-117.183333333333
5003,"PLI","APP","","Y","Y","N","1998-10-10","Y",12797,4,"PV","CHAMPION LAKE",49,11,0,117,35,0,"WK",998,70,"ICH","",NA,"",NA,NA,"Intra x Intra cross made at Red Rock and planted at Skimikin and PGTIS in the Inter-Intra Trial. Cross is 1-42-12-1 x 1-42-7-6",49.1833333333333,-117.583333333333
5004,"PLI","APP","","Y","Y","N","1998-10-10","Y",12797,4,"PV","MARL CREEK X LARCH HILLS",51,7,0,118,11,0,"SA",861,8,"ICH","",NA,"",NA,NA,"Selected from the Intra-Inter Trial at Skimikin Seed Orchard. Cross done at Red Rock for trial. This is an Inter cross (between provenance) 1-44-2-6 x 72 mix pollen. the geographic location is the average of the two parents from Marl Creek and Larch Hills",51.1166666666667,-118.183333333333
5005,"PLI","APP","","Y","Y","N","1998-10-10","Y",12797,4,"PV","MARL CREEK",51,31,0,117,11,0,"BSH",945,8,"ICH","",NA,"",NA,NA,"Intra-Inter cross made at Red Rock for trial planted at Skimikin and Red Rock. Parent was selected at Skimikin and came from an intra cross from Marl Creek: 1-44-7-6 x 1-44-10-2",51.5166666666667,-117.183333333333
5006,"PLI","APP","","Y","Y","N","1998-10-10","Y",12797,4,"PV","CHAMPION LAKE",49,11,0,117,35,0,"WK",998,8,"ICH","",NA,"",NA,NA,"This parent tree was selected from the Intra-Inter trial at Skimikin seed orchard. The original cross was made at Red Rock Research Station Prince George and is an Intra Provenance Cross:
1-42-12-1 x 1-42-5-3 Champion Lake",49.1833333333333,-117.583333333333
5007,"PLI","APP","","Y","Y","N","1998-10-10","Y",12797,4,"PV","CHAMPION LAKE X LARCH HILLS",49,56,0,118,23,0,"SA",888,8,"ICH","",NA,"",NA,NA,"This is an Intra cross with female from Champion Lake and Male from a Larch Hills pollen mix. The individual tree was selected from the Intra-Inter Pli trial at Skimikin Seed Orchard. Cross; 
1-42-12-1 x 72 mix",49.9333333333333,-118.383333333333
5008,"PLI","APP","","Y","Y","N","1998-10-10","Y",12797,4,"PV","CHAMPION LAKE X LARCH HILLS",49,56,0,118,23,0,"SA",888,8,"ICH","",NA,"",NA,NA,"Single tree selected from the Intra-Inter Provenance Pli trial at Skimikin Seed Orchard. Original Inter cross done at Red Rock Research Station: 1-42-12-1 x 72 mix",49.9333333333333,-118.383333333333
5009,"PLI","APP","","Y","Y","N","1998-10-10","Y",12797,4,"PV","CHAMPION LAKES",49,11,0,117,35,0,"WK",998,8,"ICH","",NA,"",NA,NA,"Parent tree is a inter provenance cross from Champion Lakes tested in the Intra-Inter Provenance trial at Skimikin Seed Orchard. The cross was made at RRRS: 1-42-12-1 x 1-42-7-6 and was a single tree selection made in 1998.",49.1833333333333,-117.583333333333
7706,"PLI","APP","","Y","Y","N","1973-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",50,54,0,118,23,0,"SA",1116,20,"ICH","",NA,"",NA,NA,"Parents 1-14-14-3 X 1-46-2-6",50.9,-118.383333333333
7707,"PLI","APP","","Y","Y","N","1973-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",50,50,0,119,46,0,"SA",918,20,"ICH","",NA,"",NA,NA,"Parents 1-14-14-3 X 2-72-2-2",50.8333333333333,-119.766666666667
7708,"PLI","APP","","Y","Y","N","1973-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",50,5,0,118,57,0,"SA",1028,20,"ICH","",NA,"",NA,NA,"Parents 1-14-14-3 X 1-42-15-2",50.0833333333333,-118.95
7713,"PLI","APP","","Y","Y","N","1073-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",50,0,0,117,1,0,"SA",1086,20,"ICH","",NA,"",NA,NA,"Parents 1-42-15-2 X 1-46-2-6",50,-117.016666666667
7714,"PLI","APP","","Y","Y","N","1973-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",49,57,0,118,23,0,"SA",888,20,"ICH","",NA,"",NA,NA,"1-42-15-2 X 2-72-2-2",49.95,-118.383333333333
8804,"PLI","APP","","Y","Y","N","1973-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",49,32,0,117,53,0,"SA",789,20,"ICH","",NA,"",NA,NA,"Parents 1-42-14-4 X 1-57-7-5",49.5333333333333,-117.883333333333
8805,"PLI","APP","","Y","Y","N","1973-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",49,57,0,118,23,0,"SA",888,20,"ICH","",NA,"",NA,NA,"1-42-7-4 X 2-72-13-5",49.95,-118.383333333333
8808,"PLI","APP","","Y","Y","N","1984-09-01","Y",12797,9,"PV","PROVENANCE COLLECTION",50,0,0,117,1,0,"SA",1086,20,"ICH","",NA,"",NA,NA,"Parents 1-46-15-6 X 1-42-11-2",50,-117.016666666667
9413,"PLI","APP","","Y","Y","Y","1990-01-23","Y",12797,9,"","",NA,NA,NA,NA,NA,NA,"",NA,20,"","",NA,"BS",413,NA,"Open ollinated Lot from Perm # 413 used as a pollen parent in NST (now BV Low SO) at KSO",NA,NA
9421,"PLI","APP","","Y","Y","Y","1990-01-23","Y",12797,9,"","",NA,NA,NA,NA,NA,NA,"",NA,20,"","",NA,"BS",421,NA,"Open Pollinated Seedling Family from Perm # 421 used as Pollen Parent in NST ( now BV Low seed orchard at KSO).",NA,NA
9425,"PLI","APP","","Y","Y","Y","1990-01-23","Y",12797,9,"","",NA,NA,NA,NA,NA,NA,"",NA,20,"","",NA,"BS",425,NA,"Open Pollinated seedling from Parent # 425 used as pollen parent in NST Seed Orchard at KSO ..now BV Low Seed Orchard",NA,NA
9426,"PLI","APP","","Y","Y","Y","1990-01-23","Y",12797,9,"","",NA,NA,NA,NA,NA,NA,"",NA,20,"","",NA,"BS",426,NA,"Open pollinated seedling from parent tree # 426 used as pollen parent in NST Seed Orchard at KSO (now the BV Low)",NA,NA
9430,"PLI","APP","","Y","Y","Y","1990-01-23","Y",12797,9,"","",NA,NA,NA,NA,NA,NA,"",NA,20,"","",NA,"BS",430,NA,"Open pollinated seedling from parent tree # 430 used as pollen parent in NST orchard at KSO (now BV Low).",NA,NA
9431,"PLI","APP","","Y","Y","Y","1990-01-23","Y",12797,9,"","",NA,NA,NA,NA,NA,NA,"",NA,20,"","",NA,"BS",431,NA,"Open pollinated seedling from Parent Tree # 431 used as pollen parent in NST Seed Orchard at KSO (now BV Low)",NA,NA
9908,"PLI","APP","","Y","Y","Y","1984-09-01","Y",12797,9,"","",NA,NA,NA,NA,NA,NA,"",NA,20,"","",NA,"FS",1150,1442,"",NA,NA
